url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://mehdivrc.gumroad.com/l/cybermask,sqtrzb,Cyber Mask,MEHDI,https://mehdivrc.gumroad.com,5.00,False,False,,5,5.0,,14,97,3d/3d-assets/accessories/masks
https://meowiie.gumroad.com/l/Umbra,kzkkhp,Umbra | Deira | VRChat Avatar,Kainet & Meowiie,https://meowiie.gumroad.com,45.00,False,False,,18,5.0,,6,165,3d
https://merk.gumroad.com/l/c4dplugins,MlOKOS,All Plugins Pack [Save $500],Merk,https://merk.gumroad.com,550.00,False,False,,18,4.8,,16,716,3d/3d-assets/cinema-4d
https://merk.gumroad.com/l/topowire,tpnhv,Topowire 1.3 [C4D Version: R15 - 2026],Merk,https://merk.gumroad.com,49.99,False,False,,55,4.8,,16,679,3d/3d-assets/cinema-4d
https://meshbestia.gumroad.com/l/DreamyWings,oduvl,Somna Inspired Dreamy Wings [Vrchat Asset],Mesh Bestia,https://meshbestia.gumroad.com,5.00,False,False,,7,5.0,,13,43,3d/3d-assets/accessories/wings
https://meshbestia.gumroad.com/l/astrocosmicwings,mfpuj,Astro Cosmic Wing&Tail Set,Mesh Bestia,https://meshbestia.gumroad.com,7.00,False,False,,7,4.7,,13,43,3d/3d-assets/accessories/wings
https://meshbestia.gumroad.com/l/beetlehorntail,wnyqx,Beetle Horn Tail [VRchat],Mesh Bestia,https://meshbestia.gumroad.com,10.00,False,False,,0,0.0,,14,50,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/caterpillartail,fbytc,Caterpillar Tail [VRchat],Mesh Bestia,https://meshbestia.gumroad.com,10.00,False,False,,2,5.0,,13,48,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/chomperslugtail,fhjybs,Chomper and Slug Tail [VRchat],Mesh Bestia,https://meshbestia.gumroad.com,12.00,False,False,,2,5.0,,13,48,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/dreamytails,llaea,Somna Inspired Dreamy Tails [Vrchat Asset],Mesh Bestia,https://meshbestia.gumroad.com,12.00,False,False,,1,5.0,,13,49,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/gooeyhandtail,hciwyi,Gooey Hand Tail,Mesh Bestia,https://meshbestia.gumroad.com,10.00,False,False,,2,5.0,,13,48,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/gummyfishtail,vsdlqr,Gummy Fish Tail [VRchat],Mesh Bestia,https://meshbestia.gumroad.com,10.00,False,False,,2,5.0,,13,48,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/gummywormtail,ssvis,Gummy Worm Tail [Vrchat],Mesh Bestia,https://meshbestia.gumroad.com,10.00,False,False,,2,5.0,,13,48,3d/3d-assets/avatar-components/tails
https://meshbestia.gumroad.com/l/mothwings,gfaful,Moth Wings [VRchat],Mesh Bestia,https://meshbestia.gumroad.com,5.00,False,False,,0,0.0,,14,50,3d/3d-assets/accessories/wings
https://meshbestia.gumroad.com/l/mothwyrmset,dpden,Moth Wyrm Set,Mesh Bestia,https://meshbestia.gumroad.com,12.00,False,False,,2,5.0,,13,48,3d/3d-assets/accessories/wings
